Typologie,Régime de vitesse,Voie,Arrondissement,Bois,Longueur du tronçon en m,latitude,longitude
Couloirs de bus ouverts aux vélos,VOIE 50,BOULEVARD DES BATIGNOLLES,17.0,Non,70.68893396,48.883454868541904,2.326350005902843
Couloirs de bus ouverts aux vélos,VOIE 50,BOULEVARD DES BATIGNOLLES,17.0,Non,78.03037836,48.882698698438645,2.3226194613184568
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE PASCAL,5.0,Non,59.67870378,48.8373446710465,2.3490917733774035
Couloirs de bus ouverts aux vélos,VOIE 50,RUE LAFAYETTE,9.0,Non,24.00708045,48.875810521755156,2.3438267134324446
Couloirs de bus ouverts aux vélos,VOIE 50,RUE LAFAYETTE,10.0,Non,97.86976523,48.87756201320162,2.350532075275106
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE MALUS,5.0,Non,16.89961331,48.84326283478133,2.3525228867580212
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE DES PATRIARCHES,5.0,Non,20.94375441,48.84032394553461,2.350541561995829
Pistes cyclables,VOIE 50,QUAI DE JEMMAPES,10.0,Non,76.17382485,48.875151810614305,2.3639882383605197
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE ALEXANDRE PARODI,10.0,Non,203.66098086,48.87982575474932,2.3655459436571835
Bandes cyclables,ZONE 30,RUE EUGENE VARLIN,10.0,Non,33.62584982,48.87861345118019,2.3641863508684624
Pistes cyclables,VOIE 50,BOULEVARD DE MAGENTA,10.0,Non,8.47308799,48.87201871479936,2.359727720277584
Pistes cyclables,VOIE 50,BOULEVARD DE MAGENTA,10.0,Non,19.3547374,48.86907681244406,2.3625184339891794
Couloirs de bus ouverts aux vélos,VOIE 50,BOULEVARD DE STRASBOURG,10.0,Non,30.85631011,48.87108577532697,2.3553196823842155
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE GABRIEL LAUMAIN,10.0,Non,175.37321516,48.873359519341186,2.3491395961154153
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE DE LA GRANDE BATELIERE,9.0,Non,180.3433376,48.87309670111034,2.3418132653799852
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE PEAN,13.0,Non,3.27703381,48.822144905160144,2.3717660270723697
Bandes cyclables,VOIE 50,RUE DE ROME,17.0,Non,14.37495849,48.88400969048719,2.318472196104162
Pistes cyclables,VOIE 50,BOULEVARD GARIBALDI,15.0,Non,4.01941427,48.84765334758819,2.3030707591994197
Pistes cyclables,VOIE 50,BOULEVARD DE LA CHAPELLE,10.0,Non,10.26380998,48.88441152951455,2.361528134606802
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE JEAN NICOT,7.0,Non,42.4025387,48.86139520649999,2.3068246820406726
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE SURCOUF,7.0,Non,122.20958506,48.86050902744423,2.30955489286213
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),AIRE PIETONNE,RUE DU CHAMP DE MARS,7.0,Non,62.25027677,48.85657147466329,2.3063445051694043
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE ALLENT,7.0,Non,61.56154146,48.85784426218427,2.33079013429694
Pistes cyclables,VOIE 50,PLACE DE LA RESISTANCE,7.0,Non,41.31178974,48.862356424638236,2.302102095475812
Couloirs de bus ouverts aux vélos,VOIE 50,BOULEVARD RASPAIL,6.0,Non,23.94621431,48.84225206329332,2.329634468364551
